pedido_id,fecha_hora,noche_id,dia_semana,semana_id,tipo_taco,num_tacos,nivel_salsa,para_llevar,minuto_turno,encargo_programado,estado_calidad
L3-P0001,2026-07-02T21:33,L3-N01,jueves,L3-W01,campechano,5,sin,0,213,0,válido
L3-P0002,2026-07-02T19:44,L3-N01,jueves,L3-W01,tripa,10,media,1,104,0,válido
L3-P0003,2026-07-02T19:25,L3-N01,jueves,L3-W01,pastor,3,alta,0,85,0,válido
L3-P0004,2026-07-02T19:47,L3-N01,jueves,L3-W01,suadero,5,sin,0,107,0,válido
L3-P0005,2026-07-02T19:39,L3-N01,jueves,L3-W01,campechano,10,alta,1,99,0,válido
L3-P0006,2026-07-02T21:55,L3-N01,jueves,L3-W01,tripa,8,media,0,235,0,válido
L3-P0007,2026-07-02T21:08,L3-N01,jueves,L3-W01,pastor,5,alta,1,188,0,válido
L3-P0008,2026-07-02T22:34,L3-N01,jueves,L3-W01,suadero,4,alta,0,274,0,válido
L3-P0009,2026-07-02T18:40,L3-N01,jueves,L3-W01,campechano,5,alta,0,40,0,válido
L3-P0010,2026-07-02T21:11,L3-N01,jueves,L3-W01,tripa,6,alta,1,191,0,válido
L3-P0011,2026-07-02T19:51,L3-N01,jueves,L3-W01,pastor,5,media,0,111,0,válido
L3-P0012,2026-07-02T20:07,L3-N01,jueves,L3-W01,suadero,10,sin,1,127,0,válido
L3-P0013,2026-07-02T20:57,L3-N01,jueves,L3-W01,campechano,6,alta,1,177,0,válido
L3-P0014,2026-07-02T19:22,L3-N01,jueves,L3-W01,tripa,3,media,0,82,0,válido
L3-P0015,2026-07-02T18:57,L3-N01,jueves,L3-W01,pastor,8,media,1,57,0,válido
L3-P0016,2026-07-02T22:16,L3-N01,jueves,L3-W01,suadero,6,media,1,256,0,válido
L3-P0017,2026-07-02T21:21,L3-N01,jueves,L3-W01,campechano,6,alta,0,201,0,válido
L3-P0018,2026-07-02T19:35,L3-N01,jueves,L3-W01,tripa,4,alta,0,95,0,válido
L3-P0019,2026-07-02T19:30,L3-N01,jueves,L3-W01,pastor,2,sin,0,90,0,válido
L3-P0020,2026-07-02T18:33,L3-N01,jueves,L3-W01,suadero,3,media,1,33,0,válido
L3-P0021,2026-07-02T20:23,L3-N01,jueves,L3-W01,campechano,6,media,1,143,0,válido
L3-P0022,2026-07-02T21:05,L3-N01,jueves,L3-W01,tripa,4,sin,1,185,0,válido
L3-P0023,2026-07-02T18:40,L3-N01,jueves,L3-W01,pastor,4,alta,1,40,0,válido
L3-P0024,2026-07-02T21:21,L3-N01,jueves,L3-W01,suadero,3,sin,0,201,0,válido
L3-P0025,2026-07-02T21:41,L3-N01,jueves,L3-W01,campechano,4,alta,0,221,0,válido
L3-P0026,2026-07-02T21:33,L3-N01,jueves,L3-W01,tripa,10,alta,1,213,0,válido
L3-P0027,2026-07-02T18:41,L3-N01,jueves,L3-W01,pastor,8,media,1,41,0,válido
L3-P0028,2026-07-02T20:33,L3-N01,jueves,L3-W01,suadero,5,sin,0,153,0,válido
L3-P0029,2026-07-02T21:14,L3-N01,jueves,L3-W01,campechano,2,media,0,194,0,válido
L3-P0030,2026-07-02T22:03,L3-N01,jueves,L3-W01,tripa,4,alta,1,243,0,válido
L3-P0031,2026-07-02T20:30,L3-N01,jueves,L3-W01,pastor,10,sin,1,150,0,válido
L3-P0032,2026-07-02T20:13,L3-N01,jueves,L3-W01,suadero,6,media,1,133,0,válido
L3-P0033,2026-07-02T22:27,L3-N01,jueves,L3-W01,campechano,4,media,0,267,0,válido
L3-P0034,2026-07-02T18:27,L3-N01,jueves,L3-W01,tripa,5,media,0,27,0,válido
L3-P0035,2026-07-02T21:42,L3-N01,jueves,L3-W01,pastor,5,sin,1,222,0,válido
L3-P0036,2026-07-03T21:37,L3-N02,viernes,L3-W01,suadero,6,media,0,217,0,válido
L3-P0037,2026-07-03T20:49,L3-N02,viernes,L3-W01,campechano,2,alta,1,169,0,válido
L3-P0038,2026-07-03T19:56,L3-N02,viernes,L3-W01,tripa,3,sin,0,116,0,válido
L3-P0039,2026-07-03T20:55,L3-N02,viernes,L3-W01,pastor,2,sin,1,175,0,válido
L3-P0040,2026-07-03T21:56,L3-N02,viernes,L3-W01,suadero,5,alta,1,236,0,válido
L3-P0041,2026-07-03T20:07,L3-N02,viernes,L3-W01,campechano,8,sin,0,127,0,válido
L3-P0042,2026-07-03T19:49,L3-N02,viernes,L3-W01,tripa,5,alta,1,109,0,válido
L3-P0043,2026-07-03T21:50,L3-N02,viernes,L3-W01,pastor,8,alta,0,230,0,válido
L3-P0044,2026-07-03T21:15,L3-N02,viernes,L3-W01,suadero,4,media,0,195,0,válido
L3-P0045,2026-07-03T21:06,L3-N02,viernes,L3-W01,campechano,4,media,1,186,0,válido
L3-P0046,2026-07-03T21:09,L3-N02,viernes,L3-W01,tripa,3,media,1,189,0,válido
L3-P0047,2026-07-03T22:14,L3-N02,viernes,L3-W01,pastor,5,alta,1,254,0,válido
L3-P0048,2026-07-03T18:53,L3-N02,viernes,L3-W01,suadero,4,sin,1,53,0,válido
L3-P0049,2026-07-03T20:54,L3-N02,viernes,L3-W01,campechano,4,media,0,174,0,válido
L3-P0050,2026-07-03T20:50,L3-N02,viernes,L3-W01,tripa,8,media,0,170,0,válido
L3-P0051,2026-07-03T21:21,L3-N02,viernes,L3-W01,pastor,10,sin,1,201,0,válido
L3-P0052,2026-07-03T22:04,L3-N02,viernes,L3-W01,suadero,5,media,1,244,0,válido
L3-P0053,2026-07-03T20:55,L3-N02,viernes,L3-W01,campechano,2,alta,0,175,0,válido
L3-P0054,2026-07-03T18:58,L3-N02,viernes,L3-W01,tripa,1,media,1,58,0,válido
L3-P0055,2026-07-03T20:31,L3-N02,viernes,L3-W01,pastor,8,alta,1,151,0,válido
L3-P0056,2026-07-03T21:23,L3-N02,viernes,L3-W01,suadero,5,sin,1,203,0,válido
L3-P0057,2026-07-03T19:55,L3-N02,viernes,L3-W01,campechano,2,media,1,115,0,válido
L3-P0058,2026-07-03T19:43,L3-N02,viernes,L3-W01,tripa,3,media,0,103,0,válido
L3-P0059,2026-07-03T20:15,L3-N02,viernes,L3-W01,pastor,6,sin,1,135,0,válido
L3-P0060,2026-07-03T20:30,L3-N02,viernes,L3-W01,suadero,5,alta,0,150,0,válido
L3-P0061,2026-07-03T21:24,L3-N02,viernes,L3-W01,campechano,4,media,0,204,0,válido
L3-P0062,2026-07-03T20:13,L3-N02,viernes,L3-W01,tripa,1,media,0,133,0,válido
L3-P0063,2026-07-03T21:30,L3-N02,viernes,L3-W01,pastor,12,alta,0,210,0,válido
L3-P0064,2026-07-03T20:41,L3-N02,viernes,L3-W01,suadero,10,media,1,161,0,válido
L3-P0065,2026-07-03T21:00,L3-N02,viernes,L3-W01,campechano,10,alta,1,180,0,válido
L3-P0066,2026-07-03T21:37,L3-N02,viernes,L3-W01,tripa,4,media,0,217,0,válido
L3-P0067,2026-07-03T19:30,L3-N02,viernes,L3-W01,pastor,8,media,0,90,0,válido
L3-P0068,2026-07-03T20:38,L3-N02,viernes,L3-W01,suadero,4,media,0,158,0,válido
L3-P0069,2026-07-03T20:40,L3-N02,viernes,L3-W01,campechano,2,media,0,160,0,válido
L3-P0070,2026-07-03T19:01,L3-N02,viernes,L3-W01,tripa,5,sin,1,61,0,válido
L3-P0071,2026-07-03T19:25,L3-N02,viernes,L3-W01,pastor,3,sin,1,85,0,válido
L3-P0072,2026-07-04T21:16,L3-N03,sábado,L3-W01,suadero,5,media,1,196,0,válido
L3-P0073,2026-07-04T21:26,L3-N03,sábado,L3-W01,campechano,5,media,0,206,0,válido
L3-P0074,2026-07-04T21:51,L3-N03,sábado,L3-W01,tripa,3,media,1,231,0,válido
L3-P0075,2026-07-04T20:22,L3-N03,sábado,L3-W01,pastor,4,alta,1,142,0,válido
L3-P0076,2026-07-04T18:56,L3-N03,sábado,L3-W01,suadero,3,alta,0,56,0,válido
L3-P0077,2026-07-04T21:01,L3-N03,sábado,L3-W01,campechano,4,sin,1,181,0,válido
L3-P0078,2026-07-04T20:02,L3-N03,sábado,L3-W01,tripa,4,media,1,122,0,válido
L3-P0079,2026-07-04T20:29,L3-N03,sábado,L3-W01,pastor,8,media,1,149,0,válido
L3-P0080,2026-07-04T20:24,L3-N03,sábado,L3-W01,suadero,5,media,1,144,0,válido
L3-P0081,2026-07-04T19:31,L3-N03,sábado,L3-W01,campechano,4,sin,0,91,0,válido
L3-P0082,2026-07-04T18:50,L3-N03,sábado,L3-W01,tripa,8,media,1,50,0,válido
L3-P0083,2026-07-04T20:33,L3-N03,sábado,L3-W01,pastor,6,media,0,153,0,válido
L3-P0084,2026-07-04T22:32,L3-N03,sábado,L3-W01,suadero,4,alta,1,272,0,válido
L3-P0085,2026-07-04T20:55,L3-N03,sábado,L3-W01,campechano,3,sin,0,175,0,válido
L3-P0086,2026-07-04T20:32,L3-N03,sábado,L3-W01,tripa,2,sin,0,152,0,válido
L3-P0087,2026-07-04T20:42,L3-N03,sábado,L3-W01,pastor,3,alta,1,162,0,válido
L3-P0088,2026-07-04T19:41,L3-N03,sábado,L3-W01,suadero,4,media,0,101,0,válido
L3-P0089,2026-07-04T20:15,L3-N03,sábado,L3-W01,campechano,10,sin,1,135,0,válido
L3-P0090,2026-07-04T21:00,L3-N03,sábado,L3-W01,tripa,5,sin,0,180,0,válido
L3-P0091,2026-07-04T20:21,L3-N03,sábado,L3-W01,pastor,3,alta,1,141,0,válido
L3-P0092,2026-07-04T19:55,L3-N03,sábado,L3-W01,suadero,6,sin,1,115,0,válido
L3-P0093,2026-07-04T22:08,L3-N03,sábado,L3-W01,campechano,3,media,1,248,0,válido
L3-P0094,2026-07-04T21:12,L3-N03,sábado,L3-W01,tripa,8,media,0,192,0,válido
L3-P0095,2026-07-04T21:12,L3-N03,sábado,L3-W01,pastor,2,alta,0,192,0,válido
L3-P0096,2026-07-04T21:12,L3-N03,sábado,L3-W01,suadero,6,media,0,192,0,válido
L3-P0097,2026-07-04T19:55,L3-N03,sábado,L3-W01,campechano,2,media,0,115,0,válido
L3-P0098,2026-07-04T20:29,L3-N03,sábado,L3-W01,tripa,3,media,1,149,0,válido
L3-P0099,2026-07-04T21:32,L3-N03,sábado,L3-W01,pastor,3,alta,1,212,0,válido
L3-P0100,2026-07-04T20:01,L3-N03,sábado,L3-W01,suadero,3,alta,1,121,0,válido
L3-P0101,2026-07-04T20:09,L3-N03,sábado,L3-W01,campechano,3,sin,0,129,0,válido
L3-P0102,2026-07-04T21:24,L3-N03,sábado,L3-W01,tripa,5,sin,0,204,0,válido
L3-P0103,2026-07-04T21:09,L3-N03,sábado,L3-W01,pastor,3,alta,0,189,0,válido
L3-P0104,2026-07-04T19:13,L3-N03,sábado,L3-W01,suadero,6,alta,1,73,0,válido
L3-P0105,2026-07-04T19:38,L3-N03,sábado,L3-W01,campechano,3,media,1,98,0,válido
L3-P0106,2026-07-04T21:03,L3-N03,sábado,L3-W01,tripa,8,alta,1,183,0,válido
L3-P0107,2026-07-04T18:31,L3-N03,sábado,L3-W01,pastor,6,alta,0,31,0,válido
L3-P0108,2026-07-04T21:12,L3-N03,sábado,L3-W01,suadero,25,alta,0,192,1,válido
L3-P0109,2026-07-05T20:02,L3-N04,domingo,L3-W01,campechano,4,alta,1,122,0,válido
L3-P0110,2026-07-05T20:05,L3-N04,domingo,L3-W01,tripa,10,media,0,125,0,válido
L3-P0111,2026-07-05T21:41,L3-N04,domingo,L3-W01,pastor,4,alta,1,221,0,válido
L3-P0112,2026-07-05T20:58,L3-N04,domingo,L3-W01,suadero,4,sin,1,178,0,válido
L3-P0113,2026-07-05T21:26,L3-N04,domingo,L3-W01,campechano,6,sin,0,206,0,válido
L3-P0114,2026-07-05T20:32,L3-N04,domingo,L3-W01,tripa,6,alta,0,152,0,válido
L3-P0115,2026-07-05T21:22,L3-N04,domingo,L3-W01,pastor,4,media,0,202,0,válido
L3-P0116,2026-07-05T19:09,L3-N04,domingo,L3-W01,suadero,5,media,1,69,0,válido
L3-P0117,2026-07-05T20:20,L3-N04,domingo,L3-W01,campechano,4,alta,1,140,0,válido
L3-P0118,2026-07-05T20:33,L3-N04,domingo,L3-W01,tripa,3,sin,1,153,0,válido
L3-P0119,2026-07-05T21:36,L3-N04,domingo,L3-W01,pastor,5,alta,1,216,0,válido
L3-P0120,2026-07-05T20:00,L3-N04,domingo,L3-W01,suadero,6,alta,0,120,0,válido
L3-P0121,2026-07-05T19:57,L3-N04,domingo,L3-W01,campechano,1,alta,1,117,0,válido
L3-P0122,2026-07-05T19:42,L3-N04,domingo,L3-W01,tripa,3,media,1,102,0,válido
L3-P0123,2026-07-05T19:44,L3-N04,domingo,L3-W01,pastor,4,alta,1,104,0,válido
L3-P0124,2026-07-05T21:33,L3-N04,domingo,L3-W01,suadero,10,media,0,213,0,válido
L3-P0125,2026-07-05T19:28,L3-N04,domingo,L3-W01,campechano,2,alta,0,88,0,válido
L3-P0126,2026-07-05T19:34,L3-N04,domingo,L3-W01,tripa,3,alta,1,94,0,válido
L3-P0127,2026-07-05T21:40,L3-N04,domingo,L3-W01,pastor,8,sin,0,220,0,válido
L3-P0128,2026-07-05T20:19,L3-N04,domingo,L3-W01,suadero,10,sin,1,139,0,válido
L3-P0129,2026-07-05T22:04,L3-N04,domingo,L3-W01,campechano,6,alta,0,244,0,válido
L3-P0130,2026-07-05T19:33,L3-N04,domingo,L3-W01,tripa,4,media,1,93,0,válido
L3-P0131,2026-07-05T19:41,L3-N04,domingo,L3-W01,pastor,5,sin,1,101,0,válido
L3-P0132,2026-07-05T18:30,L3-N04,domingo,L3-W01,suadero,8,alta,0,30,0,válido
L3-P0133,2026-07-05T21:22,L3-N04,domingo,L3-W01,campechano,6,sin,0,202,0,válido
L3-P0134,2026-07-05T19:01,L3-N04,domingo,L3-W01,tripa,4,sin,1,61,0,válido
L3-P0135,2026-07-05T21:53,L3-N04,domingo,L3-W01,pastor,4,sin,1,233,0,válido
L3-P0136,2026-07-05T22:13,L3-N04,domingo,L3-W01,suadero,6,alta,1,253,0,válido
L3-P0137,2026-07-05T21:44,L3-N04,domingo,L3-W01,campechano,2,alta,0,224,0,válido
L3-P0138,2026-07-05T20:13,L3-N04,domingo,L3-W01,tripa,5,alta,1,133,0,válido
L3-P0139,2026-07-05T19:04,L3-N04,domingo,L3-W01,pastor,4,alta,1,64,0,válido
L3-P0140,2026-07-05T19:27,L3-N04,domingo,L3-W01,suadero,8,alta,1,87,0,válido
L3-P0141,2026-07-05T21:14,L3-N04,domingo,L3-W01,campechano,4,sin,0,194,0,válido
L3-P0142,2026-07-05T20:39,L3-N04,domingo,L3-W01,tripa,1,sin,0,159,0,válido
L3-P0143,2026-07-05T20:23,L3-N04,domingo,L3-W01,pastor,4,media,0,143,0,válido
L3-P0144,2026-07-05T20:42,L3-N04,domingo,L3-W01,suadero,4,alta,0,162,0,válido
L3-P0145,2026-07-05T20:55,L3-N04,domingo,L3-W01,campechano,6,alta,0,175,0,válido
L3-P0146,2026-07-05T21:01,L3-N04,domingo,L3-W01,tripa,4,alta,1,181,0,válido
L3-P0147,2026-07-09T20:54,L3-N05,jueves,L3-W02,suadero,6,media,1,174,0,válido
L3-P0148,2026-07-09T19:20,L3-N05,jueves,L3-W02,campechano,5,media,0,80,0,válido
L3-P0149,2026-07-09T19:23,L3-N05,jueves,L3-W02,tripa,4,alta,1,83,0,válido
L3-P0150,2026-07-09T22:36,L3-N05,jueves,L3-W02,pastor,3,sin,1,276,0,válido
L3-P0151,2026-07-09T19:05,L3-N05,jueves,L3-W02,suadero,12,media,0,65,0,válido
L3-P0152,2026-07-09T21:05,L3-N05,jueves,L3-W02,campechano,4,sin,1,185,0,válido
L3-P0153,2026-07-09T19:01,L3-N05,jueves,L3-W02,tripa,4,media,1,61,0,válido
L3-P0154,2026-07-09T20:28,L3-N05,jueves,L3-W02,pastor,2,media,0,148,0,válido
L3-P0155,2026-07-09T19:53,L3-N05,jueves,L3-W02,suadero,10,sin,1,113,0,válido
L3-P0156,2026-07-09T20:39,L3-N05,jueves,L3-W02,campechano,4,media,1,159,0,válido
L3-P0157,2026-07-09T21:30,L3-N05,jueves,L3-W02,tripa,12,alta,1,210,0,válido
L3-P0158,2026-07-09T20:20,L3-N05,jueves,L3-W02,pastor,12,sin,1,140,0,válido
L3-P0159,2026-07-09T21:32,L3-N05,jueves,L3-W02,suadero,8,media,0,212,0,válido
L3-P0160,2026-07-09T21:04,L3-N05,jueves,L3-W02,campechano,6,sin,0,184,0,válido
L3-P0161,2026-07-09T20:40,L3-N05,jueves,L3-W02,tripa,5,sin,1,160,0,válido
L3-P0162,2026-07-09T21:49,L3-N05,jueves,L3-W02,pastor,4,media,1,229,0,válido
L3-P0163,2026-07-09T21:09,L3-N05,jueves,L3-W02,suadero,1,sin,1,189,0,válido
