snapshot_id,fecha,fase,pedidos_totales,score_medio,frecuencia_observada,mae_confirmado,retraso_etiqueta_dias,brecha_calibracion,alerta_persistente,procedimiento_activo,aprobacion_humana,version_datos,version_regla
L10-M001,2028-01-15,referencia,79,0.635,0.612,5.6,7,0.023,0,1,1,v1,r3
L10-M002,2028-01-16,referencia,86,0.641,0.633,5.51,7,0.008,0,1,1,v1,r3
L10-M003,2028-01-17,referencia,84,0.654,0.634,5.28,7,0.02,0,1,1,v1,r3
L10-M004,2028-01-18,referencia,84,0.646,0.621,5.45,7,0.025,0,1,1,v1,r3
L10-M005,2028-01-19,referencia,75,0.642,0.625,5.85,7,0.017,0,1,1,v1,r3
L10-M006,2028-01-20,referencia,73,0.648,0.652,5.96,7,0.004,0,1,1,v1,r3
L10-M007,2028-01-21,referencia,74,0.665,0.661,5.34,7,0.004,0,1,1,v1,r3
L10-M008,2028-01-22,referencia,77,0.65,0.635,5.56,7,0.015,0,1,1,v1,r3
L10-M009,2028-01-23,referencia,81,0.655,0.642,5.55,7,0.013,0,1,1,v1,r3
L10-M010,2028-01-24,referencia,78,0.657,0.644,6.2,7,0.013,0,1,1,v1,r3
L10-M011,2028-01-25,referencia,87,0.676,0.632,6.24,7,0.044,0,1,1,v1,r3
L10-M012,2028-01-26,referencia,74,0.667,0.657,5.69,7,0.01,0,1,1,v1,r3
L10-M013,2028-01-27,referencia,72,0.684,0.659,5.93,7,0.025,0,1,1,v1,r3
L10-M014,2028-01-28,referencia,75,0.682,0.644,5.63,7,0.038,0,1,1,v1,r3
L10-M015,2028-01-29,referencia,80,0.657,0.661,6.18,7,0.004,0,1,1,v1,r3
L10-M016,2028-01-30,referencia,83,0.666,0.631,6.23,7,0.035,0,1,1,v1,r3
L10-M017,2028-01-31,referencia,84,0.658,0.658,6.33,7,0.0,0,1,1,v1,r3
L10-M018,2028-02-01,referencia,84,0.663,0.642,6.14,7,0.021,0,1,1,v1,r3
L10-M019,2028-02-02,referencia,73,0.661,0.628,5.64,7,0.033,0,1,1,v1,r3
L10-M020,2028-02-03,referencia,72,0.659,0.625,6.15,7,0.034,0,1,1,v1,r3
L10-M021,2028-02-04,referencia,71,0.673,0.65,5.72,7,0.023,0,1,1,v1,r3
L10-M022,2028-02-05,referencia,74,0.64,0.627,5.99,7,0.013,0,1,1,v1,r3
L10-M023,2028-02-06,referencia,80,0.637,0.628,5.81,7,0.009,0,1,1,v1,r3
L10-M024,2028-02-07,referencia,87,0.647,0.641,5.58,7,0.006,0,1,1,v1,r3
L10-M025,2028-02-08,referencia,83,0.642,0.634,5.54,7,0.008,0,1,1,v1,r3
L10-M026,2028-02-09,referencia,73,0.627,0.649,5.55,7,0.022,0,1,1,v1,r3
L10-M027,2028-02-10,referencia,73,0.635,0.637,5.65,7,0.002,0,1,1,v1,r3
L10-M028,2028-02-11,referencia,77,0.633,0.641,5.65,7,0.008,0,1,1,v1,r3
L10-M029,2028-02-12,referencia,79,0.636,0.628,5.31,7,0.008,0,1,1,v1,r3
